Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
MSTR,MicroStrategy Incorporated,299.12,+13.33,+4.66%,1.099M,"300,607",2.772B,"1,510.71",
COUP,Coupa Software Incorporated,335.96,+14.95,+4.66%,1.216M,1.184M,24.248B,N/A,
RLLCF,Rolls-Royce Holdings plc,0.0045,+0.0002,+4.65%,"412,494",2.069M,98.103B,N/A,
ICUI,"ICU Medical, Inc.",205.34,+9.08,+4.63%,"267,346","125,059",4.308B,54.32,
ALVR,"AlloVir, Inc.",43.84,+1.93,+4.61%,"336,407","284,760",2.703B,N/A,
NNOX,Nano-X Imaging Ltd.,44.01,+1.91,+4.54%,"686,346",2.85M,2.005B,N/A,
APAM,Artisan Partners Asset Management Inc.,50.67,+2.17,+4.47%,"478,882","459,662",3.981B,16.94,
GPDNF,Danone S.A.,66.58,+2.86,+4.48%,"28,693","11,087",43.3B,13.60,
TCNNF,Trulieve Cannabis Corp.,32.17,+1.37,+4.45%,"418,631","460,535",3.773B,54.34,
FMCC,Freddie Mac,2.3700,+0.1000,+4.41%,5.953M,2.451M,1.551B,N/A,
XP,XP Inc.,40.07,+1.69,+4.40%,2.767M,1.312M,22.111B,N/A,
ZNGA,Zynga Inc.,9.52,+0.40,+4.39%,31.36M,21.3M,10.272B,N/A,
BKRKF,PT Bank Rakyat Indonesia (Persero) Tbk,0.3100,+0.0130,+4.38%,"71,361","169,884",38.951B,17.22,
AFTPF,Afterpay Limited,87.98,+3.68,+4.37%,"21,208","5,020",23.15B,N/A,
RNG,"RingCentral, Inc.",369.50,+16.42,+4.65%,"793,820",1M,33.119B,N/A,
SDGR,"Schrödinger, Inc.",77.48,+3.22,+4.34%,1.338M,1.264M,5.384B,N/A,
ALRM,"Alarm.com Holdings, Inc.",86.92,+3.61,+4.33%,"721,257","353,875",4.269B,59.09,
LIVN,LivaNova PLC,66.59,+2.75,+4.31%,"428,567","520,739",3.236B,N/A,
Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
