,LocationType,Type,Name,Address,City,Latitude,Longitude
152,Branch,KCP,KCP Mangga Besar Raya,Jl. Mangga Besar Raya 128,Jakarta Pusat,-6.148479,106.829839
153,Branch,KCP,KCP Kartini,"Komplek Apartemen Grand Kartini, Ruko No. 18 Jl. Kartini Raya No. 57",Jakarta Pusat,-6.149236,106.833912
154,Branch,KCP,KCP Utan Kayu,Jl. Utan Kayu 94,Jakarta Timur,-6.196541,106.872038
155,Branch,KCP,KCP Jembatan Merah,Jl. Mangga Besar 177 C,Jakarta Barat,-6.148743,106.833651
156,Branch,KCP,KCP Rawasari,Jl. Rawasari Selatan No. 24 A,Jakarta Pusat,-6.185788,106.871107
157,Branch,KCP,KCP Tebet Barat,Jl. Tebet Barat IX/40,Jakarta Selatan,-6.238734,106.848794
158,Branch,KCP,KCP Jembatan Merah,Jl. Merdeka No. 50,Bogor,-6.148255,106.832893
159,Branch,KCP,KCP Hasanudin,Jl. Hasanudin 43/48,Jakarta Selatan,-6.241838,106.802093
160,Branch,KCP,KCP Jatinegara Timur,"Jl. Jatinegara Timur No.37 Pav RT.008 RW.04, Balimester, Jatinegara, Jakarta Timur",Jakarta Timur,-6.218257,106.867636
161,Branch,KCP,KCP Lokasari,"Komp. Lokasari Plaza Blok B 45, Jl. Mangga Besar 81",Jakarta Barat,-6.147071,106.823988
162,Branch,KCP,KCP Daan Mogot Dua,Jl. Daan Mogot No. 48 A,Jakarta Barat,-6.164994,106.783407
163,Branch,KCP,KCP Grogol Permai,"Pert.Grogol Permai Blok F 3-4, Jl. Prof. Latumenten",Jakarta Barat,-6.156529,106.79201
164,Branch,KCP,KCP Seasons City,Komp. Ruko Season City Blok E No. 8-9 Jembatan Besi,Jakarta Barat,-6.153306,106.796481
165,Branch,KCP,KCP KHM Mansyur II,"Jl. KHM. Mansyur No. 69, Krendang, Tambora, Jakarta Barat",Jakarta Barat,-6.148137,106.807313
166,Branch,KCP,KCP Kepa Duri,Jl. Mangga Raya 20,Jakarta Barat,-6.173069,106.777133
167,Branch,KCP,KCP Lindeteves Trade Center,"Gedung Lindeteves Trade Center Ruko RA 33 - 35 - 36, Jl.Hayam Wuruk 127",Jakarta Barat,-6.145985,106.816327
168,Branch,KK,KK Kantor Kas Green Pramuka,"Mall Green Pramuka Lt. UG No. 09, Jakarta",Jakarta Timur,-6.189171,106.873827
169,Branch,KCP,KCP Warung Buncit,"Gedung Multika, Jl. Mampang Prapatan Raya 71-73",Jakarta Selatan,-6.248684,106.826912
170,Branch,KCP,KCP Tebet Timur,Jl. Tebet Timur Dalam Blok GG No. 97,Jakarta Selatan,-6.236064,106.857175
171,Branch,KCP,KCP Lindeteves,"Gedung Hayam Wuruk Indah Lt 1 Blok A-L 01,CKS 056, Jl.Hayam Wuruk 100",Jakarta Barat,-6.144963,106.81604
172,Branch,KCP,KCP Jelambar,"Kavling Polri, Jl. Hadiah Blok B-7 No.706",Jakarta Barat,-6.159566,106.785244
173,Branch,KCP,KCP Relasi Indah,Jl. Panjang No.11 (Arteri Kelapa Dua),Jakarta Barat,-6.203313,106.769141
174,Branch,KCP,KCP Jalan Panjang,Jl. Panjang 79 EF,Jakarta Barat,-6.20348,106.769127
175,Branch,KCP,KCP Glodok Plaza,"Pertokoan Glodok Plaza Blok E/7-8, Jl. Pinangsia Raya 1",Jakarta Barat,-6.143133,106.817548
176,Branch,KCP,KCP Jelambar Baru Raya,Jl. Jelambar Baru Raya 53 C,Jakarta Barat,-6.155271,106.787984
177,Branch,KCU,KCU WISMA MILLENIA,Jl. MT. Haryono Kav. 16,Jakarta Selatan,-6.242855,106.851503
178,Branch,KCP,KCP Ricci,"Sekolah Ricci, Jl. Kemenangan III/70",Jakarta Barat,-6.14338,106.811567
179,Branch,KBNP,KBNP Alfamidi Bangka,"Jl. Bangka Raya No. 100 RT. 01 RW 12, Kel. Pela Mampang, Mampang Prapatan, Jakarta Selatan",Jakarta Selatan,-6.250565,106.814327
180,Branch,KK,KK Kantor Kas Pasar Mayestik,"Pasar Mayestik, Jl. Tebah Raya I Lt. 2 Blok BKS No. 9 dan 10 Kebayoran Baru",Jakarta Selatan,-6.241132,106.790782
181,Branch,KCU,KCU PANGERAN JAYAKARTA,Jl. Pangeran Jayakarta No. 127,Jakarta Pusat,-6.142495,106.829433
182,Branch,KCP,KCP PRJ Kemayoran,Gedung Pusat Niaga Lt. 1 Wing Barat Arena PRJ Kemayoran,Jakarta Pusat,-6.146811,106.845143
183,Branch,KCP,KCP Mayestik,"Jl. Kiai Maja 77, Kebayoran Baru",Jakarta Selatan,-6.241983,106.791431
184,Branch,KCP,KCP Cempaka Putih Raya,"Jl. Cempaka Putih Raya No. 118 B,C,D",Jakarta Pusat,-6.176823,106.874554
185,Branch,KCP,KCP Blok M,"Jl. Melawai Raya B-10/165 RT.004 / RW.01, Melawai?Kebayoran Baru",Jakarta Selatan,-6.245911,106.796648
186,Branch,KCU,KCU KEBAYORAN BARU,Jl. Melawai Raya Blok B No. III RT. 007 / RW. 005 Kebayoran Baru,Jakarta Selatan,-6.245924,106.796635
187,Branch,KCP,KCP Jayakarta,Jl. P. Jayakarta 26 Blok A/2-3,Jakarta Pusat,-6.141101,106.825123
188,Branch,KK,KK Kantor Kas Kalbis Institute,Gedung Institute Teknologi & Bisnis Kalbe Jl. Pulo Mas Selatan 22/11,Jakarta Timur,-6.179075,106.876529
189,Branch,KCP,KCP Gunung Sahari,"Pert.Gunung Sahari Indah Blok B/11-12, Jl. Raya Gunung Sahari 13",Jakarta Utara,-6.141058,106.833503
190,Branch,KCP,KCP Rajawali,Jl. Rajawali Selatan Raya Blok C5 No. 2 Rukan Multi Guna Blok 2,Jakarta Utara,-6.144159,106.844278
191,Branch,KCP,KCP Latumenten,Jl. Prof. Dr. Latumenten 28,Jakarta Barat,-6.147527,106.793767
192,Branch,KCP,KCP Angke,Jl. Tubagus Angke No. 37,Jakarta Barat,-6.142288,106.80519
193,Branch,KCP,KCP Pinangsia,Jl. Pinangsia II No. 3 & 3A,Jakarta Barat,-6.139967,106.814679
194,Branch,KCP,KCP Mangga Dua Square,"Komp. Ruko Mangga Dua Square Blok G No. 8-9, Jl. Gunung Sahari Raya",Jakarta Utara,-6.140185,106.832452
195,Branch,KCP,KCP Ruko Swadaya,"Jl. Swadaya Raya No. 39 Ruko Swadaya City Square Blok 1 No. 11-23, Grogol Petamburan",Jakarta Barat,-6.161022,106.777549
196,Branch,KCP,KCP Perniagaan Timur,Jl. Perniagaan Timur 35,Jakarta Barat,-6.140662,106.810056
197,Branch,KCP,KCP Psr. Kebayoran Lama,Jl. Kebayoran Lama 174,Jakarta Selatan,-6.23619,106.780302
198,Branch,KCP,KCP Otista,Jl. Otista No. 109,Jakarta Timur,-6.233932,106.867615
199,Branch,KCP,KCP Kedoya Baru,Ruko Tomang Tol Raya Blok A 1/21-22,Jakarta Barat,-6.189668,106.764299
