,LocationType,Type,Name,Address,City,Latitude,Longitude
82,Branch,myBCA,myBCA Kota Kasablanka,"Mal Kota Kasablanka, Lantai 2",Jakarta Selatan,-6.223468,106.842847
83,Branch,KCP,KCP Gatot Subroto,"Centennial Tower lantai GF unit C, Jl. Gatot Subroto Kav 24-25",Jakarta Selatan,-6.23023,106.820468
84,Branch,KCP,KCP Sopo Del,"Gedung Sopo Del Office Tower A Lantai GF-15, Jl. Mega Kuningan Barat III Lot 10.1-6, Jakarta",Jakarta Selatan,-6.230391,106.823903
85,Branch,KK,KK Kantor Kas Kota Kasablanka,"Mal Kota Kasablanka LG 103, Jl. Kasablanka Raya Kav. 88",Jakarta Selatan,-6.224164,106.842548
86,Branch,KCP,KCP Sudirman Mansion,Sudirman Mansion Lt. G No. G-A Blk C Jl. Jend. Sudirman Kav 59 No. 77,Jakarta Selatan,-6.226158,106.805693
87,Branch,KCP,KCP Roxy Mas,"Komplek Ruko Roxy Mas, Jl. K.H. Hasyim Ashari Blok C.5 No. 6 - 8",Jakarta Pusat,-6.168173,106.804107
88,Branch,KCP,KCP Batu Ceper,Jl. Batu Ceper Raya 18 A-B,Jakarta Pusat,-6.162541,106.823096
89,Branch,KCP,KCP Mal Taman Anggrek,"Lower Ground Lot. C 07, Jl. S. Parman Kav. 21, Slipi",Jakarta Barat,-6.179269,106.792753
90,Branch,KCP,KCP AM Sangaji,Jl. AM Sangaji No. 020 A Rt. 003/04,Jakarta Pusat,-6.163531,106.81228
91,Branch,KCU,KCU PASAR BARU,Jl. KH Samanhudi 8,Jakarta Pusat,-6.162447,106.828941
92,Branch,KCP,KCP Pecenongan,Jl. Pecenongan 86,Jakarta Pusat,-6.162141,106.826926
93,Branch,KCP,KCP Cideng Timur,Jl. Cideng Timur 11 F,Jakarta Pusat,-6.164007,106.810692
94,Branch,KCP,KCP ITC Roxi Mas,"ITC Roxy Mas Basement 13, Jl. KH. Hasyim Ashari 125",Jakarta Pusat,-6.167056,106.803446
95,Branch,KCP,KCP Tomang Tol,Jl. Arjuna Kav. 8 A/1,Jakarta Barat,-6.184351,106.789424
96,Branch,KCP,KCP Summitmas,"Summitmas I Lt. Dasar, Jl. Jend. Sudirman Kav. 61-62",Jakarta Selatan,-6.226587,106.803737
97,Branch,KCP,KCP Sawah Besar,Jl. Sukarjo Wiryopranoto 28 C,Jakarta Pusat,-6.160891,106.823321
98,Branch,KCP,KCP Kramat Jaya Baru,Jl. Percetakan Negara II No. 16 B-C,Jakarta Pusat,-6.183109,106.856095
99,Branch,KCP,KCP Jembatan Lima,Jl. KH. Moch. Mansyur 15 F,Jakarta Pusat,-6.163785,106.80776
100,Branch,KCP,KCP Ratu Plaza,Jl. Jend. Sudirman Lantai Dasar,Jakarta Pusat,-6.226598,106.801269
101,Branch,KCP,KCP Ketapang,"Komp.Ketapang Indah Blok A/3-4, Jl. KH Zainal Arifin",Jakarta Barat,-6.160241,106.818005
102,Branch,myBCA,myBCA Central Park,"Mal Central Park, Lantai LG",Jakarta Barat,-6.177619,106.791107
103,Branch,KCP,KCP Metro Pasar Baru,"Gedung Metro Pasar Baru Lt. Dasar No. 101, 102, 103, Jl. Samanhudi",Jakarta Pusat,-6.160989,106.832332
104,Branch,KCU,KCU KUNINGAN,"Gedung Menara Karya Ground Floor, Jl. HR Rasuna Said Blok X-5 Kav. 1-2",Jakarta Selatan,-6.23317,106.831157
105,Branch,KCP,KCP Palmerah,Jl. Palmerah Barat 38 A,Jakarta Barat,-6.206954,106.786319
106,Branch,KCP,KCP Duri Raya,Jl. Duri Raya 37 B,Jakarta Barat,-6.161346,106.807803
107,Branch,KCP,KCP Central Park,"Kawasan Superblok Podomoro City (Central Park) Ruko Garden Shopping Arcade Blok B/08/CB,CC,CD Jl. S. Parman, Jak Bar",Jakarta Barat,-6.17594,106.79014
